handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
item_11981,Product,Tanasuk Al Haramain,"<p>Tanasuk&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Oriental Vainilla para Hombres y Mujeres. Las Notas de Salida son rosa, granadina y azafrán; las Notas de Corazón son notas amaderadas, ámbar y jazmín; las Notas de Fondo son vainilla, azúcar moreno y almizcle.</p><p>&nbsp;</p><p><em><strong>Tanasuk Extrait de Parfum de Al Haramain</strong>&nbsp;es una fragancia unisex que fusiona dulzura, elegancia y misterio en una composición oriental irresistible. Su salida vibrante mezcla rosa, azafrán y granadina, creando un inicio floral y frutal con acentos especiados. En el corazón, el ámbar, el jazmín y las notas amaderadas aportan profundidad y sensualidad. La base se funde en una estela cálida y golosa de vainilla, azúcar moreno y almizcle, dejando huella con su carácter envolvente.&nbsp;<strong>Tanasuk Extrait de Parfum</strong>&nbsp;es ideal para quienes buscan una experiencia olfativa intensa, romántica y sofisticada. Un perfume que transforma cada instante en un recuerdo dorado.</em></p>",346e0f_90ca61ddd9904bb489c6d6c00364b29a~mv2.jpg,,11981,,295400.0,,true,PERCENT,0.0,6,100.0,211000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_11980,Product,Haramain Detour Rouge Al Haramain,"<p>Détour Rouge&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Cítrica para Hombres y Mujeres.&nbsp;Détour Rouge&nbsp;se lanzó en 2022. Las Notas de Salida son lavanda, bergamota y cardamomo; las Notas de Corazón son té negro, tabaco y violeta; las Notas de Fondo son almizcle, haba tonka y cedro.</p>",346e0f_ef5393173c4b42cfa74d040406a06d97~mv2.jpg,,11980,,316400.0,,true,PERCENT,0.0,6,100.0,226000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_11979,Product,Haramain Detour Exclusif Noir Al Haramain,"<p>Detour Noir Exclusif&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Oriental Floral para Hombres y Mujeres.&nbsp;Detour Noir Exclusif&nbsp;se lanzó en 2024. Las Notas de Salida son almendra, notas acuosas, mandarina y bergamota; las Notas de Corazón son algalia (civet), geranio, rosa, nenúfar (lirio de agua) y gardenia; las Notas de Fondo son Oud laosiano, madera de gaiac, vainilla, sándalo, café, hojas de pachulí de Indonesia, ámbar, musgo de roble y pimienta rosa.</p>",346e0f_448e15b0cc7b46588e5e98ef2ffd317e~mv2.jpg,,11979,,316400.0,,true,PERCENT,0.0,6,100.0,226000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_11978,Product,Haramain Detour Eco Al Haramain,"<p>Haramain Detour Eco&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Oriental Amaderada para Hombres y Mujeres.&nbsp;Haramain Detour Eco&nbsp;se lanzó en 2024. Las Notas de Salida son lavanda, esclarea y bergamota; las Notas de Corazón son azafrán y praliné; las Notas de Fondo son madera de oud y cedro.</p>",346e0f_339110678f7c46498ee6e7e3c7b0b172~mv2.jpg,,11978,,316400.0,,true,PERCENT,0.0,6,100.0,226000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_11977,Product,Amber Oud White Edition Al Haramain,"<p>Amber Oud White Edition&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Chipre Floral para Hombres y Mujeres.&nbsp;Amber Oud White Edition&nbsp;se lanzó en 2022. Las Notas de Salida son bergamota y naranja; las Notas de Corazón son jazmín, rosa, fresia y ciclamen (violeta persa); las Notas de Fondo son pachulí, almizcle, vetiver y vainilla.</p>",346e0f_89891c37d77a460f8e1aa57b87c7425e~mv2.webp,,11977,Hombre,595000.0,,true,PERCENT,0.0,6,200.0,425000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_11976,Product,Amber Oud Ultra Violet Al Haramain,"<p>Amber Oud Ultra Violet&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Almizcle Floral Amaderado para Mujeres.&nbsp;Amber Oud Ultra Violet&nbsp;se lanzó en 2024. Las Notas de Salida son rosa, jengibre y bergamota; las Notas de Corazón son nardos, jazmín y flores blancas; las Notas de Fondo son almizcle, pachulí y roble.</p>",346e0f_6ccc2917fac64a3e87a8f524e22d4094~mv2.webp,,11976,Mujer,368200.0,,true,PERCENT,0.0,6,60.0,263000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_11974,Product,Velvet Desert Oud Dolce & Gabbana,<p>Velvet Desert Oud&nbsp;de&nbsp;Dolce&amp;Gabbana&nbsp;es una fragancia de la familia olfativa Oriental para Hombres y Mujeres.&nbsp;Velvet Desert Oud&nbsp;se lanzó en 2013.</p>,346e0f_e6286a1c9f604cb3b9580e95acfe3f73~mv2.avif,,11974,,1603000.0,,true,PERCENT,0.0,3,100.0,1145000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_11973,Product,Velvet Blue Musk Dolce & Gabbana,"<p>Velvet Blue Musk&nbsp;de&nbsp;Dolce&amp;Gabbana&nbsp;es una fragancia de la familia olfativa Almizcle Amaderado Floral para Hombres y Mujeres.&nbsp;Velvet Blue Musk&nbsp;se lanzó en 2023. La Nariz detrás de esta fragrancia es Mathilde Bijaoui. Las Notas de Salida son cardamomo, azafrán y comino; las Notas de Corazón son sándalo, cipriol (nagarmota) y rosa de Damasco; las Notas de Fondo son almizcle, haba tonka y cedro.</p>",346e0f_d8d4b64ec0ac4a6f9fe97138d13f3529~mv2.avif,,11973,,1603000.0,,true,PERCENT,0.0,3,100.0,1145000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_11972,Product,Velvet Zafferano Dolce & Gabbana,"<p>Velvet Zafferano&nbsp;de&nbsp;Dolce&amp;Gabbana&nbsp;es una fragancia de la familia olfativa Oriental Especiada para Hombres y Mujeres. Esta fragrancia es nueva.&nbsp;Velvet Zafferano&nbsp;se lanzó en 2024. La Nariz detrás de esta fragrancia es Aurélien Guichard. La Nota de Salida es azafrán; las Notas de Corazón son tabaco y hojas de tabaco; las Notas de Fondo son ámbar, vainilla, pachulí y ládano.</p>",346e0f_f38b2564101e4c6cbfb25835a81c8d74~mv2.avif,,11972,,1603000.0,,true,PERCENT,0.0,3,100.0,1145000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
item_11971,Product,Fame In Love Rabanne Parfum Elixir,"<p>Fame in Love&nbsp;de&nbsp;Rabanne&nbsp;es una fragancia de la familia olfativa Floral Frutal Gourmand para Mujeres. Esta fragrancia es nueva.&nbsp;Fame in Love&nbsp;se lanzó en 2025. Fame in Love fue creada por Dora Baghriche, Fabrice Pellegrin y Clement Gavarry. Las Notas de Salida son fresa, mandarina verde y albahaca; las Notas de Corazón son jazmín, incienso y raíz de lirio; las Notas de Fondo son absoluto de vainilla, Notas minerales y pachulí.</p>",346e0f_9ba79792c8894f6cae4a0e519ed79519~mv2.avif,,11971,Mujer,842800.0,,true,PERCENT,0.0,3,80.0,602000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
