Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,parfum-item-11981,Tanasuk Al Haramain,Product,"<p>Tanasuk&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Oriental Vainilla para Hombres y Mujeres. Las Notas de Salida son rosa, granadina y azafrán; las Notas de Corazón son notas amaderadas, ámbar y jazmín; las Notas de Fondo son vainilla, azúcar moreno y almizcle.</p><p>&nbsp;</p><p><em><strong>Tanasuk Extrait de Parfum de Al Haramain</strong>&nbsp;es una fragancia unisex que fusiona dulzura, elegancia y misterio en una composición oriental irresistible. Su salida vibrante mezcla rosa, azafrán y granadina, creando un inicio floral y frutal con acentos especiados. En el corazón, el ámbar, el jazmín y las notas amaderadas aportan profundidad y sensualidad. La base se funde en una estela cálida y golosa de vainilla, azúcar moreno y almizcle, dejando huella con su carácter envolvente.&nbsp;<strong>Tanasuk Extrait de Parfum</strong>&nbsp;es ideal para quienes buscan una experiencia olfativa intensa, romántica y sofisticada. Un perfume que transforma cada instante en un recuerdo dorado.</em></p>",published,346e0f_90ca61ddd9904bb489c6d6c00364b29a~mv2.jpg,100.0,,,,,,,,,,,,,true,item_11981,,Default variant,11981,,false,true,100.0,,,,,,,,295400.0,295400.0,Default option,Default,346e0f_90ca61ddd9904bb489c6d6c00364b29a~mv2.jpg,
,parfum-item-11980,Haramain Detour Rouge Al Haramain,Product,"<p>Détour Rouge&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Cítrica para Hombres y Mujeres.&nbsp;Détour Rouge&nbsp;se lanzó en 2022. Las Notas de Salida son lavanda, bergamota y cardamomo; las Notas de Corazón son té negro, tabaco y violeta; las Notas de Fondo son almizcle, haba tonka y cedro.</p>",published,346e0f_ef5393173c4b42cfa74d040406a06d97~mv2.jpg,100.0,,,,,,,,,,,,,true,item_11980,,Default variant,11980,,false,true,100.0,,,,,,,,316400.0,316400.0,Default option,Default,346e0f_ef5393173c4b42cfa74d040406a06d97~mv2.jpg,
,parfum-item-11979,Haramain Detour Exclusif Noir Al Haramain,Product,"<p>Detour Noir Exclusif&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Oriental Floral para Hombres y Mujeres.&nbsp;Detour Noir Exclusif&nbsp;se lanzó en 2024. Las Notas de Salida son almendra, notas acuosas, mandarina y bergamota; las Notas de Corazón son algalia (civet), geranio, rosa, nenúfar (lirio de agua) y gardenia; las Notas de Fondo son Oud laosiano, madera de gaiac, vainilla, sándalo, café, hojas de pachulí de Indonesia, ámbar, musgo de roble y pimienta rosa.</p>",published,346e0f_448e15b0cc7b46588e5e98ef2ffd317e~mv2.jpg,100.0,,,,,,,,,,,,,true,item_11979,,Default variant,11979,,false,true,100.0,,,,,,,,316400.0,316400.0,Default option,Default,346e0f_448e15b0cc7b46588e5e98ef2ffd317e~mv2.jpg,
,parfum-item-11978,Haramain Detour Eco Al Haramain,Product,"<p>Haramain Detour Eco&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Oriental Amaderada para Hombres y Mujeres.&nbsp;Haramain Detour Eco&nbsp;se lanzó en 2024. Las Notas de Salida son lavanda, esclarea y bergamota; las Notas de Corazón son azafrán y praliné; las Notas de Fondo son madera de oud y cedro.</p>",published,346e0f_339110678f7c46498ee6e7e3c7b0b172~mv2.jpg,100.0,,,,,,,,,,,,,true,item_11978,,Default variant,11978,,false,true,100.0,,,,,,,,316400.0,316400.0,Default option,Default,346e0f_339110678f7c46498ee6e7e3c7b0b172~mv2.jpg,
,parfum-item-11977,Amber Oud White Edition Al Haramain,Product,"<p>Amber Oud White Edition&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Chipre Floral para Hombres y Mujeres.&nbsp;Amber Oud White Edition&nbsp;se lanzó en 2022. Las Notas de Salida son bergamota y naranja; las Notas de Corazón son jazmín, rosa, fresia y ciclamen (violeta persa); las Notas de Fondo son pachulí, almizcle, vetiver y vainilla.</p>",published,346e0f_89891c37d77a460f8e1aa57b87c7425e~mv2.webp,200.0,,,,,,,,,,,,,true,item_11977,,Default variant,11977,,false,true,200.0,,,,,,,,595000.0,595000.0,Default option,Default,346e0f_89891c37d77a460f8e1aa57b87c7425e~mv2.webp,
,parfum-item-11976,Amber Oud Ultra Violet Al Haramain,Product,"<p>Amber Oud Ultra Violet&nbsp;de&nbsp;Al Haramain Perfumes&nbsp;es una fragancia de la familia olfativa Almizcle Floral Amaderado para Mujeres.&nbsp;Amber Oud Ultra Violet&nbsp;se lanzó en 2024. Las Notas de Salida son rosa, jengibre y bergamota; las Notas de Corazón son nardos, jazmín y flores blancas; las Notas de Fondo son almizcle, pachulí y roble.</p>",published,346e0f_6ccc2917fac64a3e87a8f524e22d4094~mv2.webp,60.0,,,,,,,,,,,,,true,item_11976,,Default variant,11976,,false,true,60.0,,,,,,,,368200.0,368200.0,Default option,Default,346e0f_6ccc2917fac64a3e87a8f524e22d4094~mv2.webp,
,parfum-item-11974,Velvet Desert Oud Dolce & Gabbana,Product,<p>Velvet Desert Oud&nbsp;de&nbsp;Dolce&amp;Gabbana&nbsp;es una fragancia de la familia olfativa Oriental para Hombres y Mujeres.&nbsp;Velvet Desert Oud&nbsp;se lanzó en 2013.</p>,published,346e0f_e6286a1c9f604cb3b9580e95acfe3f73~mv2.avif,100.0,,,,,,,,,,,,,true,item_11974,,Default variant,11974,,false,true,100.0,,,,,,,,1603000.0,1603000.0,Default option,Default,346e0f_e6286a1c9f604cb3b9580e95acfe3f73~mv2.avif,
,parfum-item-11973,Velvet Blue Musk Dolce & Gabbana,Product,"<p>Velvet Blue Musk&nbsp;de&nbsp;Dolce&amp;Gabbana&nbsp;es una fragancia de la familia olfativa Almizcle Amaderado Floral para Hombres y Mujeres.&nbsp;Velvet Blue Musk&nbsp;se lanzó en 2023. La Nariz detrás de esta fragrancia es Mathilde Bijaoui. Las Notas de Salida son cardamomo, azafrán y comino; las Notas de Corazón son sándalo, cipriol (nagarmota) y rosa de Damasco; las Notas de Fondo son almizcle, haba tonka y cedro.</p>",published,346e0f_d8d4b64ec0ac4a6f9fe97138d13f3529~mv2.avif,100.0,,,,,,,,,,,,,true,item_11973,,Default variant,11973,,false,true,100.0,,,,,,,,1603000.0,1603000.0,Default option,Default,346e0f_d8d4b64ec0ac4a6f9fe97138d13f3529~mv2.avif,
,parfum-item-11972,Velvet Zafferano Dolce & Gabbana,Product,"<p>Velvet Zafferano&nbsp;de&nbsp;Dolce&amp;Gabbana&nbsp;es una fragancia de la familia olfativa Oriental Especiada para Hombres y Mujeres. Esta fragrancia es nueva.&nbsp;Velvet Zafferano&nbsp;se lanzó en 2024. La Nariz detrás de esta fragrancia es Aurélien Guichard. La Nota de Salida es azafrán; las Notas de Corazón son tabaco y hojas de tabaco; las Notas de Fondo son ámbar, vainilla, pachulí y ládano.</p>",published,346e0f_f38b2564101e4c6cbfb25835a81c8d74~mv2.avif,100.0,,,,,,,,,,,,,true,item_11972,,Default variant,11972,,false,true,100.0,,,,,,,,1603000.0,1603000.0,Default option,Default,346e0f_f38b2564101e4c6cbfb25835a81c8d74~mv2.avif,
,parfum-item-11971,Fame In Love Rabanne Parfum Elixir,Product,"<p>Fame in Love&nbsp;de&nbsp;Rabanne&nbsp;es una fragancia de la familia olfativa Floral Frutal Gourmand para Mujeres. Esta fragrancia es nueva.&nbsp;Fame in Love&nbsp;se lanzó en 2025. Fame in Love fue creada por Dora Baghriche, Fabrice Pellegrin y Clement Gavarry. Las Notas de Salida son fresa, mandarina verde y albahaca; las Notas de Corazón son jazmín, incienso y raíz de lirio; las Notas de Fondo son absoluto de vainilla, Notas minerales y pachulí.</p>",published,346e0f_9ba79792c8894f6cae4a0e519ed79519~mv2.avif,80.0,,,,,,,,,,,,,true,item_11971,,Default variant,11971,,false,true,80.0,,,,,,,,842800.0,842800.0,Default option,Default,346e0f_9ba79792c8894f6cae4a0e519ed79519~mv2.avif,
