Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Variant Id
prod_01KJFY01FC5SXKTGAY9TV1E092,coffee-mug-v3,Medusa Coffee Mug,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/coffee-mug.png,variant_01KJFY01GVRKTDF8F86M5YM8WV
prod_01KJFY01FCJHG86YP702PQ0TXQ,sweatpants-v2,Medusa Sweatpants,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,variant_01KJFY01GWZESHQPXCFRDH38QX
prod_01KJFY01FCJHG86YP702PQ0TXQ,sweatpants-v2,Medusa Sweatpants,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,variant_01KJFY01GW100CX3KP45PBRBM2
prod_01KJFY01FCJHG86YP702PQ0TXQ,sweatpants-v2,Medusa Sweatpants,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,variant_01KJFY01GWK2GM5WFDQX4RCZ9T
prod_01KJFY01FCJHG86YP702PQ0TXQ,sweatpants-v2,Medusa Sweatpants,published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatpants-gray-front.png,variant_01KJFY01GWMMRQC101Q6641VY4
prod_01KJFYARGG2FR3W2W4TFAJ7QS2,parfum-item-11978,Haramain Detour Eco Al Haramain,published,346e0f_339110678f7c46498ee6e7e3c7b0b172~mv2.jpg,variant_01KJFYASX638GDYJT0S18B5HZM
prod_01KJFYARGG2N91WGE18X8D7S9E,parfum-item-11969,Hawas Verde Rasasi,published,346e0f_7997b2d810cc46409ff59ce622f27170~mv2.jpg,variant_01KJFYASX7D8Q2XM0JSZZMN7CE
prod_01KJFYARGG3KVEV2CV0KE65MR7,parfum-item-11979,Haramain Detour Exclusif Noir Al Haramain,published,346e0f_448e15b0cc7b46588e5e98ef2ffd317e~mv2.jpg,variant_01KJFYASX6JYX9XY13FTDP6WRZ
prod_01KJFYARGG3QGTFQ2C7G8J4DSA,parfum-item-11963,Al Haramain Le Rêve D'Eve White Orchid,published,346e0f_bcb465dfbfda4f9a8180a68a9e9a7b54~mv2.jpg,variant_01KJFYASX8DV4NKYSQSFGJE80M
prod_01KJFYARGG3RM0257VFNM6KMFF,parfum-item-11976,Amber Oud Ultra Violet Al Haramain,published,346e0f_6ccc2917fac64a3e87a8f524e22d4094~mv2.webp,variant_01KJFYASX775F5WRADSFKEKQKY
prod_01KJFYARGG8VTVX37XC1T2W6AR,parfum-item-11968,Jardin des Papillons Paris Corner,published,346e0f_9ba79792c8894f6cae4a0e519ed79519~mv2.avif,variant_01KJFYASX73R9MW7F6HKH8SH5N
prod_01KJFYARGG978QN26946HX9293,parfum-item-11972,Velvet Zafferano Dolce & Gabbana,published,346e0f_f38b2564101e4c6cbfb25835a81c8d74~mv2.avif,variant_01KJFYASX7EQCXGNKFH4VDAJTK
prod_01KJFYARGG9W5WTXN6FTCD711X,parfum-item-11981,Tanasuk Al Haramain,published,346e0f_90ca61ddd9904bb489c6d6c00364b29a~mv2.jpg,variant_01KJFYASX6Y4WKMY34CA1AMKJ2
prod_01KJFYARGGB22PY6S40YMKPH1T,parfum-item-11980,Haramain Detour Rouge Al Haramain,published,346e0f_ef5393173c4b42cfa74d040406a06d97~mv2.jpg,variant_01KJFYASX6YK9XZ8H4A6KM9DHM
prod_01KJFYARGGETPTMDEN3J1F741P,parfum-item-11974,Velvet Desert Oud Dolce & Gabbana,published,346e0f_e6286a1c9f604cb3b9580e95acfe3f73~mv2.avif,variant_01KJFYASX70SV3NGBEQJ0T59W2
prod_01KJFYARGGM6EGYXDAN9A82YY8,parfum-item-11966,Candy White Grandeur,published,346e0f_57370ca1087d4338a90878f6e6d05a57~mv2.webp,variant_01KJFYASX86NDWFNXCZWET3PH3
prod_01KJFYARGGM7P51P7MT5E0BECT,parfum-item-11977,Amber Oud White Edition Al Haramain,published,346e0f_89891c37d77a460f8e1aa57b87c7425e~mv2.webp,variant_01KJFYASX6NX4Y149VD09XZ8RF
prod_01KJFYARGGPY2Z42XC2T0M0M1P,parfum-item-11965,Lumina Bharara,published,346e0f_b017ee103bf14bc6b700e38e17be9264~mv2.webp,variant_01KJFYASX808ZJ71GDFHYVDFXK
